# Catalog generated from GLEE config file 'glee_models/glee_paper/v01_SB/GLEEconfig_MERGED_best'
# Number of entries: 169
# RA_IMG[deg] DEC_IMG[deg] RA_SRC[deg] DEC_SRC[deg] REDSHIFT REDSHIFT_PRIOR TYPE PROFILE LABEL
171.81935805105203 42.47832553410068 nan nan 0.348000 N/A lens dpie N/A
171.80752900139456 42.47289690003835 nan nan 0.348000 N/A lens dpie N/A
nan nan nan nan 0.348000 N/A lens shear N/A
nan nan nan nan 0.348000 N/A lens shear N/A
171.80713804847943 42.44583445281383 nan nan 0.348000 N/A lens dpie N/A
171.7447980473601 42.44678164787558 nan nan 0.348000 N/A lens dpie N/A
171.74978338516357 42.45094740175219 nan nan 0.348000 N/A lens dpie N/A
171.83092471295407 42.450516891939614 nan nan 0.348000 N/A lens dpie N/A
171.80235024553534 42.45223605708527 nan nan 0.348000 N/A lens dpie N/A
171.75576854656094 42.452154022979265 nan nan 0.348000 N/A lens dpie N/A
171.7546530375453 42.45245160705354 nan nan 0.348000 N/A lens dpie N/A
171.79424191065394 42.45434379737951 nan nan 0.348000 N/A lens dpie N/A
171.75756744636797 42.45293490944656 nan nan 0.348000 N/A lens dpie N/A
171.74659655756605 42.45287700451162 nan nan 0.348000 N/A lens dpie N/A
171.76104738243694 42.455763770522886 nan nan 0.348000 N/A lens dpie N/A
171.82486228255019 42.455705504439855 nan nan 0.348000 N/A lens dpie N/A
171.83267946076145 42.45581341967413 nan nan 0.348000 N/A lens dpie N/A
171.80136795303991 42.45414317693926 nan nan 0.348000 N/A lens dpie N/A
171.77129419354324 42.454859796024564 nan nan 0.348000 N/A lens dpie N/A
171.79566239858602 42.45600450871377 nan nan 0.348000 N/A lens dpie N/A
171.79818458775458 42.45568770846577 nan nan 0.348000 N/A lens dpie N/A
171.7585481523784 42.455315062526076 nan nan 0.348000 N/A lens dpie N/A
171.77033117690945 42.457233253650486 nan nan 0.348000 N/A lens dpie N/A
171.76621800806325 42.45632755609528 nan nan 0.348000 N/A lens dpie N/A
171.77822284817162 42.45656458052111 nan nan 0.348000 N/A lens dpie N/A
171.77574244748482 42.457721747438136 nan nan 0.348000 N/A lens dpie N/A
171.74233648332404 42.456646799759326 nan nan 0.348000 N/A lens dpie N/A
171.8193534098747 42.456549047729546 nan nan 0.348000 N/A lens dpie N/A
171.78066999157335 42.45696645791169 nan nan 0.348000 N/A lens dpie N/A
171.80236829307822 42.45676275418598 nan nan 0.348000 N/A lens dpie N/A
171.7700696527544 42.45902721350055 nan nan 0.348000 N/A lens dpie N/A
171.75369168877307 42.459665725217256 nan nan 0.348000 N/A lens dpie N/A
171.78534487539685 42.4594549519441 nan nan 0.348000 N/A lens dpie N/A
171.805638220133 42.45956839302964 nan nan 0.348000 N/A lens dpie N/A
171.84667116348047 42.45965060860679 nan nan 0.348000 N/A lens dpie N/A
171.75373786052882 42.46079603879608 nan nan 0.348000 N/A lens dpie N/A
171.79966546767608 42.46091196463131 nan nan 0.348000 N/A lens dpie N/A
171.8326672322473 42.46078732386805 nan nan 0.348000 N/A lens dpie N/A
171.76441945432265 42.461032404389286 nan nan 0.348000 N/A lens dpie N/A
171.75568675685392 42.460775999116485 nan nan 0.348000 N/A lens dpie N/A
171.82218397508484 42.46110543581472 nan nan 0.348000 N/A lens dpie N/A
171.78665727061687 42.46113707221161 nan nan 0.348000 N/A lens dpie N/A
171.79567774390395 42.46275020712621 nan nan 0.348000 N/A lens dpie N/A
171.7345837781695 42.46236977496866 nan nan 0.348000 N/A lens dpie N/A
171.7942013598939 42.464433898834834 nan nan 0.348000 N/A lens dpie N/A
171.79281233487498 42.464305267891 nan nan 0.348000 N/A lens dpie N/A
171.79324689602964 42.46489144806998 nan nan 0.348000 N/A lens dpie N/A
171.80146351035276 42.463261864810036 nan nan 0.348000 N/A lens dpie N/A
171.75605984665043 42.46494080236138 nan nan 0.348000 N/A lens dpie N/A
171.85129844921755 42.46309214674882 nan nan 0.348000 N/A lens dpie N/A
171.8443164645469 42.46312248937044 nan nan 0.348000 N/A lens dpie N/A
171.77135445795824 42.463291303924514 nan nan 0.348000 N/A lens dpie N/A
171.83041014347847 42.463599582020244 nan nan 0.348000 N/A lens dpie N/A
171.7798014853535 42.466276800337155 nan nan 0.348000 N/A lens dpie N/A
171.79622487673987 42.463937368248445 nan nan 0.348000 N/A lens dpie N/A
171.835107462012 42.46643994562112 nan nan 0.348000 N/A lens dpie N/A
171.79119310557462 42.46493142719358 nan nan 0.348000 N/A lens dpie N/A
171.80314509554643 42.46759195247672 nan nan 0.348000 N/A lens dpie N/A
171.7762062617952 42.467666294539356 nan nan 0.348000 N/A lens dpie N/A
171.79288314020914 42.46700506469841 nan nan 0.348000 N/A lens dpie N/A
171.79210938923524 42.467321396359985 nan nan 0.348000 N/A lens dpie N/A
171.7727356882719 42.46811559278339 nan nan 0.348000 N/A lens dpie N/A
171.75597417453267 42.46747617860236 nan nan 0.348000 N/A lens dpie N/A
171.74543552885234 42.4701382814049 nan nan 0.348000 N/A lens dpie N/A
171.74764143002733 42.46958657238351 nan nan 0.348000 N/A lens dpie N/A
171.7479643431512 42.46856068465399 nan nan 0.348000 N/A lens dpie N/A
171.73806657780645 42.46937813251851 nan nan 0.348000 N/A lens dpie N/A
171.74006246195677 42.469984877818305 nan nan 0.348000 N/A lens dpie N/A
171.78633226761386 42.46917526829183 nan nan 0.348000 N/A lens dpie N/A
171.76262725719945 42.469894526029165 nan nan 0.348000 N/A lens dpie N/A
171.7589941484919 42.46845767408807 nan nan 0.348000 N/A lens dpie N/A
171.7604163479284 42.46982812123267 nan nan 0.348000 N/A lens dpie N/A
171.76012474990952 42.46809295152238 nan nan 0.348000 N/A lens dpie N/A
171.82808347409622 42.468290420275785 nan nan 0.348000 N/A lens dpie N/A
171.81045063182532 42.46861384524445 nan nan 0.348000 N/A lens dpie N/A
171.74912598084032 42.46920798089202 nan nan 0.348000 N/A lens dpie N/A
171.74872177595356 42.46945974433165 nan nan 0.348000 N/A lens dpie N/A
171.75833026411806 42.469473505983004 nan nan 0.348000 N/A lens dpie N/A
171.82768956403686 42.469440657538314 nan nan 0.348000 N/A lens dpie N/A
171.77454498176027 42.46925271526992 nan nan 0.348000 N/A lens dpie N/A
171.80743379032202 42.47128739996223 nan nan 0.348000 N/A lens dpie N/A
171.81015747383307 42.47057570258954 nan nan 0.348000 N/A lens dpie N/A
171.76949515684402 42.46985012311468 nan nan 0.348000 N/A lens dpie N/A
171.78077514451314 42.47046786374377 nan nan 0.348000 N/A lens dpie N/A
171.8244061699194 42.47147924947719 nan nan 0.348000 N/A lens dpie N/A
171.73910715796345 42.46974847754431 nan nan 0.348000 N/A lens dpie N/A
171.74753804503888 42.46942773626305 nan nan 0.348000 N/A lens dpie N/A
171.80965965341983 42.47036359831709 nan nan 0.348000 N/A lens dpie N/A
171.76185986490464 42.47057805562016 nan nan 0.348000 N/A lens dpie N/A
171.7942890169323 42.47189659378325 nan nan 0.348000 N/A lens dpie N/A
171.78104253867085 42.472105679723875 nan nan 0.348000 N/A lens dpie N/A
171.80120283755915 42.47337869530015 nan nan 0.348000 N/A lens dpie N/A
171.80017649638063 42.47284661040806 nan nan 0.348000 N/A lens dpie N/A
171.83273441486304 42.472343997016964 nan nan 0.348000 N/A lens dpie N/A
171.80109928053983 42.472139507335065 nan nan 0.348000 N/A lens dpie N/A
171.809078221563 42.47331400736221 nan nan 0.348000 N/A lens dpie N/A
171.8073036228817 42.47295542210414 nan nan 0.348000 N/A lens dpie N/A
171.808505905096 42.472549911863624 nan nan 0.348000 N/A lens dpie N/A
171.79930458365808 42.472439101002415 nan nan 0.348000 N/A lens dpie N/A
171.80611502987753 42.47269701760423 nan nan 0.348000 N/A lens dpie N/A
171.80133645053965 42.47255467964503 nan nan 0.348000 N/A lens dpie N/A
171.8186958722593 42.4724316253896 nan nan 0.348000 N/A lens dpie N/A
171.79994978450736 42.47424473459526 nan nan 0.348000 N/A lens dpie N/A
171.80693669850604 42.47409978375904 nan nan 0.348000 N/A lens dpie N/A
171.8198289649135 42.47337071536202 nan nan 0.348000 N/A lens dpie N/A
171.82987837045127 42.47565787735878 nan nan 0.348000 N/A lens dpie N/A
171.74280532551862 42.47473648287892 nan nan 0.348000 N/A lens dpie N/A
171.809591103634 42.47565291128347 nan nan 0.348000 N/A lens dpie N/A
171.8471017566269 42.47580858625399 nan nan 0.348000 N/A lens dpie N/A
171.84704383556826 42.47557371611477 nan nan 0.348000 N/A lens dpie N/A
171.82024340437388 42.475618299151414 nan nan 0.348000 N/A lens dpie N/A
171.7368387531447 42.47721529499512 nan nan 0.348000 N/A lens dpie N/A
171.80447314733735 42.476435267444224 nan nan 0.348000 N/A lens dpie N/A
171.81916035452824 42.47805379957884 nan nan 0.348000 N/A lens dpie N/A
171.8195500679047 42.47728259264918 nan nan 0.348000 N/A lens dpie N/A
171.81657006016252 42.47704627684455 nan nan 0.348000 N/A lens dpie N/A
171.8156272115353 42.47670340888398 nan nan 0.348000 N/A lens dpie N/A
171.81885237325167 42.47608468318561 nan nan 0.348000 N/A lens dpie N/A
171.81881934265542 42.47581939210382 nan nan 0.348000 N/A lens dpie N/A
171.81849217847002 42.47913817984368 nan nan 0.348000 N/A lens dpie N/A
171.81694319388862 42.47798038286983 nan nan 0.348000 N/A lens dpie N/A
171.77739999024544 42.47964120845222 nan nan 0.348000 N/A lens dpie N/A
171.81377957284658 42.47945664114743 nan nan 0.348000 N/A lens dpie N/A
171.76497491199774 42.48077731542621 nan nan 0.348000 N/A lens dpie N/A
171.74184963831533 42.47926760507938 nan nan 0.348000 N/A lens dpie N/A
171.81528411561604 42.47989129136067 nan nan 0.348000 N/A lens dpie N/A
171.84069062237975 42.480198013032805 nan nan 0.348000 N/A lens dpie N/A
171.82522290657462 42.48052778641154 nan nan 0.348000 N/A lens dpie N/A
171.8098419842418 42.481575763396904 nan nan 0.348000 N/A lens dpie N/A
171.76389916924364 42.48230409703464 nan nan 0.348000 N/A lens dpie N/A
171.81170979774234 42.481015590155216 nan nan 0.348000 N/A lens dpie N/A
171.77394515792105 42.48191544457291 nan nan 0.348000 N/A lens dpie N/A
171.76817826739614 42.480848706085816 nan nan 0.348000 N/A lens dpie N/A
171.81271342944672 42.48295447702767 nan nan 0.348000 N/A lens dpie N/A
