# Catalog generated from GLEE config file 'glee_models/glee_paper/v01/GLEEconfig_MERGED_best'
# Number of entries: 106 (incl. indiv. point-like sources: 41)
# RA_IMG[deg] DEC_IMG[deg] RA_SRC[deg] DEC_SRC[deg] REDSHIFT REDSHIFT_PRIOR TYPE PROFILE LABEL
171.81379445925305 42.47806230696735 171.81445059533837 42.47612142900522 1.780000 exact ptl_src N/A N/A
171.81500229272314 42.47603612759195 171.81445059533837 42.47612142900522 1.780000 exact ptl_src N/A N/A
171.81640125058556 42.474693288149645 171.81445059533837 42.47612142900522 1.780000 exact ptl_src N/A N/A
171.81389526347883 42.47806888413414 171.8145257885034 42.476135349608256 1.780000 exact ptl_src N/A N/A
171.81499074894387 42.47616503032096 171.8145257885034 42.476135349608256 1.780000 exact ptl_src N/A N/A
171.81656042078862 42.47464354844978 171.8145257885034 42.476135349608256 1.780000 exact ptl_src N/A N/A
171.81379535546603 42.47829390676207 171.81448445155587 42.476199502819156 1.780000 exact ptl_src N/A N/A
171.81538506055148 42.47575353640685 171.81448445155587 42.476199502819156 1.780000 exact ptl_src N/A N/A
171.81625637131117 42.47494582409138 171.81448445155587 42.476199502819156 1.780000 exact ptl_src N/A N/A
171.8140234423095 42.47777635497613 171.8145585888245 42.476065609480564 1.780000 exact ptl_src N/A N/A
171.81468461467057 42.47653760230125 171.8145585888245 42.476065609480564 1.780000 exact ptl_src N/A N/A
171.8167507169901 42.4744366006992 171.8145585888245 42.476065609480564 1.780000 exact ptl_src N/A N/A
171.8141442917204 42.47765412735286 171.81461597208235 42.47605229944591 1.780000 exact ptl_src N/A N/A
171.81459470534932 42.476746223285545 171.81461597208235 42.47605229944591 1.780000 exact ptl_src N/A N/A
171.81422285431242 42.47732800932991 171.81457579518542 42.476010686864576 1.780000 exact ptl_src N/A N/A
171.81439150936316 42.476987170453775 171.81457579518542 42.476010686864576 1.780000 exact ptl_src N/A N/A
171.81122593781888 42.47328145900029 171.81043046685815 42.474496376366226 2.240000 exact ptl_src N/A N/A
171.81164313774985 42.47256467324991 171.81043046685815 42.474496376366226 2.240000 exact ptl_src N/A N/A
171.81142545782478 42.47310391817851 171.81047720617474 42.47452859215697 2.240000 exact ptl_src N/A N/A
171.81158863606404 42.47281248453644 171.81047720617474 42.47452859215697 2.240000 exact ptl_src N/A N/A
171.80910186332898 42.475598272136295 171.81066928743522 42.47435187161315 0.600113 flat ptl_src N/A z3
171.80932889132825 42.47540732985017 171.81066928743522 42.47435187161315 0.600113 flat ptl_src N/A z3
171.8087890168513 42.47573222967368 171.81058719395025 42.47428388763517 0.600113 link_z3 ptl_src N/A N/A
171.8098248965614 42.47489613590651 171.81058719395025 42.47428388763517 0.600113 link_z3 ptl_src N/A N/A
171.80866194238698 42.475799152801656 171.81058839655722 42.474244886008215 0.600113 link_z3 ptl_src N/A N/A
171.80997233235766 42.47473140756992 171.81058839655722 42.474244886008215 0.600113 link_z3 ptl_src N/A N/A
171.81219889731332 42.471543456672876 171.81058839655722 42.474244886008215 0.600113 link_z3 ptl_src N/A N/A
171.80860732377835 42.475739462699806 171.81054215520544 42.4742124959975 0.600113 link_z3 ptl_src N/A N/A
171.80985823968382 42.47473892951541 171.81054215520544 42.4742124959975 0.600113 link_z3 ptl_src N/A N/A
171.81215097333734 42.47147126683313 171.81054215520544 42.4742124959975 0.600113 link_z3 ptl_src N/A N/A
171.80497858595237 42.473815062201574 171.8091787049945 42.47333359038827 3.950000 exact ptl_src N/A N/A
171.80497850132176 42.47350696221572 171.8091787049945 42.47333359038827 3.950000 exact ptl_src N/A N/A
171.80943961314082 42.46912120912787 171.8091787049945 42.47333359038827 3.950000 exact ptl_src N/A N/A
171.8049094264348 42.47394867251499 171.80912352360758 42.47334595952451 3.950000 exact ptl_src N/A N/A
171.80490924869022 42.47329897254458 171.80912352360758 42.47334595952451 3.950000 exact ptl_src N/A N/A
171.8093050392555 42.46914623437688 171.80912352360758 42.47334595952451 3.950000 exact ptl_src N/A N/A
171.80501405495912 42.47407255689465 171.80918626513858 42.47335526537098 3.950000 exact ptl_src N/A N/A
171.8050001317111 42.47325865898265 171.80918626513858 42.47335526537098 3.950000 exact ptl_src N/A N/A
171.8080752456845 42.47576535776422 171.8103474064741 42.47412585824295 2.119433 flat ptl_src N/A N/A
171.80984760211805 42.474347231558404 171.8103474064741 42.47412585824295 2.119433 flat ptl_src N/A N/A
171.81183435503814 42.471346633452576 171.8103474064741 42.47412585824295 2.119433 flat ptl_src N/A N/A
171.8134904770739 42.477627575292104 171.81413124756614 42.47594872952448 1.775948 flat ptl_src N/A N/A
171.81451559990782 42.476029641699164 171.81413124756614 42.47594872952448 1.775948 flat ptl_src N/A N/A
171.81597159721898 42.47453539421641 171.81413124756614 42.47594872952448 1.775948 flat ptl_src N/A N/A
171.81363404706306 42.47803754312041 171.81433603402232 42.47609428216741 1.780000 exact ptl_src N/A N/A
171.81503390940907 42.475845920109954 171.81433603402232 42.47609428216741 1.780000 exact ptl_src N/A N/A
171.8161387955343 42.47476835312971 171.81433603402232 42.47609428216741 1.780000 exact ptl_src N/A N/A
171.81366351658562 42.47796233649634 171.81434091171937 42.47607326798629 1.780000 exact ptl_src N/A N/A
171.81490606733522 42.47597255031632 171.81434091171937 42.47607326798629 1.780000 exact ptl_src N/A N/A
171.81621295191087 42.47467893483109 171.81434091171937 42.47607326798629 1.780000 exact ptl_src N/A N/A
171.81428351234578 42.47793719536828 171.8147812564688 42.476135743280146 1.780000 exact ptl_src N/A N/A
171.81488507112695 42.47667315525679 171.8147812564688 42.476135743280146 1.780000 exact ptl_src N/A N/A
171.81711980449313 42.47444620718295 171.8147812564688 42.476135743280146 1.780000 exact ptl_src N/A N/A
171.8132408122555 42.47747103080508 171.81390908182263 42.47586773129724 1.736893 flat ptl_src N/A N/A
171.81440140288564 42.475796068177125 171.81390908182263 42.47586773129724 1.736893 flat ptl_src N/A N/A
171.81556203838974 42.474587093826415 171.81390908182263 42.47586773129724 1.736893 flat ptl_src N/A N/A
171.81572619424236 42.47831185403476 171.81584049711412 42.47600536207825 5.833597 flat ptl_src N/A z11
171.81578235323732 42.47799514038615 171.81584049711412 42.47600536207825 5.833597 flat ptl_src N/A z11
171.81572670889872 42.478345153909316 171.81584606241813 42.47600795710983 5.833597 link_z11 ptl_src N/A N/A
171.81580523809848 42.47796093481522 171.81584606241813 42.47600795710983 5.833597 link_z11 ptl_src N/A N/A
171.81578253951417 42.478411540335394 171.81588359447304 42.4760161304494 5.833597 link_z11 ptl_src N/A N/A
171.81588352054737 42.47791931572336 171.81588359447304 42.4760161304494 5.833597 link_z11 ptl_src N/A N/A
171.81565796695574 42.47847797058226 171.8158104510584 42.476015626901116 5.833597 link_z11 ptl_src N/A N/A
171.81578266745979 42.47780344031207 171.8158104510584 42.476015626901116 5.833597 link_z11 ptl_src N/A N/A
171.81573723125382 42.478618451349604 171.81586169124876 42.476036445796524 5.833597 link_z11 ptl_src N/A N/A
171.8159072230856 42.47770260993472 171.81586169124876 42.476036445796524 5.833597 link_z11 ptl_src N/A N/A
171.81557975806828 42.47868628950061 171.81577372457838 42.476041940563576 5.833597 link_z11 ptl_src N/A N/A
171.815793370438 42.477586237709616 171.81577372457838 42.476041940563576 5.833597 link_z11 ptl_src N/A N/A
171.81591939103916 42.47874290694606 171.8159661239079 42.47606172748531 5.833597 link_z11 ptl_src N/A N/A
171.8161330102231 42.47767065452276 171.8159661239079 42.47606172748531 5.833597 link_z11 ptl_src N/A N/A
171.8155347864937 42.47875240035563 171.81574649365663 42.47605293162929 5.833597 link_z11 ptl_src N/A N/A
171.81577003654346 42.47751044338874 171.81574649365663 42.47605293162929 5.833597 link_z11 ptl_src N/A N/A
171.81051055027177 42.473189402530245 171.809890495595 42.47444586832448 6.161684 flat ptl_src N/A N/A
171.81137232824676 42.47142392910049 171.809890495595 42.47444586832448 6.161684 flat ptl_src N/A N/A
171.80851449561078 42.47715637945354 171.81111550249946 42.47469545393629 4.722884 flat ptl_src N/A z13
171.81144212048736 42.47433051474331 171.81111550249946 42.47469545393629 4.722884 flat ptl_src N/A z13
171.81308895750456 42.47189496435693 171.81111550249946 42.47469545393629 4.722884 flat ptl_src N/A z13
171.8086319597971 42.477050258230406 171.81115267675875 42.47465387972568 4.722884 link_z13 ptl_src N/A N/A
171.81130639240217 42.4745047425704 171.81115267675875 42.47465387972568 4.722884 link_z13 ptl_src N/A N/A
171.81316349843635 42.47176524794026 171.81115267675875 42.47465387972568 4.722884 link_z13 ptl_src N/A N/A
171.804549892735 42.474124025463006 171.8085296818033 42.473434863961394 2.162014 flat ptl_src N/A z14
171.80501175193226 42.47188145725216 171.8085296818033 42.473434863961394 2.162014 flat ptl_src N/A z14
171.8076538665352 42.46981403135287 171.8085296818033 42.473434863961394 2.162014 flat ptl_src N/A z14
171.80454790158018 42.47415762575297 171.80852651643778 42.47344273175423 2.162014 link_z14 ptl_src N/A N/A
171.80505802753132 42.47180755031495 171.80852651643778 42.47344273175423 2.162014 link_z14 ptl_src N/A N/A
171.80763087273036 42.469824035321174 171.80852651643778 42.47344273175423 2.162014 link_z14 ptl_src N/A N/A
171.8087762537544 42.47613993200054 171.8107931884915 42.47440500745735 2.190796 flat ptl_src N/A N/A
171.81061522938813 42.47452158179594 171.8107931884915 42.47440500745735 2.190796 flat ptl_src N/A N/A
171.81234205137926 42.471969826201786 171.8107931884915 42.47440500745735 2.190796 flat ptl_src N/A N/A
171.80612028832522 42.4743812859237 171.8092089272463 42.473487691985724 1.420097 flat ptl_src N/A N/A
171.80819824057423 42.473306136022416 171.8092089272463 42.473487691985724 1.420097 flat ptl_src N/A N/A
171.80609399680415 42.472697890119804 171.8092089272463 42.473487691985724 1.420097 flat ptl_src N/A N/A
171.80926587984496 42.47041464167482 171.8092089272463 42.473487691985724 1.420097 flat ptl_src N/A N/A
171.80512499955248 42.47461504022564 171.80940572511346 42.473392875172856 8.348649 flat ptl_src N/A N/A
171.8050812711452 42.47305864681492 171.80940572511346 42.473392875172856 8.348649 flat ptl_src N/A N/A
171.80995867488258 42.468922510267845 171.80940572511346 42.473392875172856 8.348649 flat ptl_src N/A N/A
171.81390805064865 42.477319581239556 171.81433984434614 42.47595245434492 1.720984 flat ptl_src N/A N/A
171.81427797673953 42.47667219665658 171.81433984434614 42.47595245434492 1.720984 flat ptl_src N/A N/A
171.8164473839267 42.4743335766697 171.81433984434614 42.47595245434492 1.720984 flat ptl_src N/A N/A
171.80932879943447 42.4774643298536 171.81163500612496 42.47491946852688 5.320434 flat ptl_src N/A N/A
171.81200931180095 42.47463629671638 171.81163500612496 42.47491946852688 5.320434 flat ptl_src N/A N/A
171.8137661480876 42.472254213421785 171.81163500612496 42.47491946852688 5.320434 flat ptl_src N/A N/A
171.81069236200554 42.475986566454054 171.81177346594703 42.47462392641012 7.602668 flat ptl_src N/A N/A
171.81016258012835 42.47656467071189 171.81177346594703 42.47462392641012 7.602668 flat ptl_src N/A N/A
171.81285921864745 42.47649141461203 171.8132295070873 42.47553489415701 1.748746 flat ptl_src N/A N/A
171.81328058073984 42.47592102201358 171.8132295070873 42.47553489415701 1.748746 flat ptl_src N/A N/A
